id,product,recommended,shop,uid,api_key,email,order_id,created_at,device,price
295,8270579663139,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 13:45:54,desktop,2490
228,8270579335459,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:59:52,desktop,960000
279,8270579335459,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 07:29:15,desktop,960000
231,8270579269923,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:52:55,desktop,1024
235,8270579335459,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:54:08,desktop,960000
244,8270579269923,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 13:16:05,desktop,1024
377,8270569537827,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 09:41:07,desktop,9480
291,8270573175075,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 13:39:26,desktop,8190
220,8270569537827,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:19:21,desktop,9480
243,8270579564835,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:54:43,desktop,1343
299,8270570750243,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 13:49:49,desktop,500
240,8270579335459,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 13:13:00,desktop,960000
239,8270579695907,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:54:36,desktop,3904
287,8270579269923,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 09:48:24,desktop,1024
259,8270579597603,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 07:21:11,desktop,1173
154,8270580023587,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:45:45,desktop,3180
275,8270579335459,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 12:14:22,mobile,960000
224,8270573175075,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-16 12:19:30,desktop,8190
283,8270573175075,true,shopcast-stage-1-0.myshopify.com,kM7u3GN9Qqme,015629919a40414db823561bddb1e8e3,null,null,2023-08-18 07:30:12,desktop,8190
381,8270569537827,true,shopcast-stage-1-0.myshopify.com,Ue66GQ3Hp5Ha,015629919a40414db823561bddb1e8e3,null,null,2023-08-17 09:47:51,desktop,9480
166,8239098691898,true,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,2023-08-17 11:37:24,desktop,700
162,8239103738170,false,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,2023-08-17 11:37:01,desktop,10
271,8219586396474,true,shopcast-testing-store.myshopify.com,Lxvoxl8LzHih,020c4729fa1d4d29bbfdb0987c3a7268,null,null,2023-08-17 12:07:49,mobile,960
112,8193723531577,true,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,2023-07-17 13:44:30,desktop,8190
38,8193722450233,true,shopcast-app.myshopify.com,g3tZI0M4FwNu,05c5a92ecfcc455ca7f5b3fad2098080,null,null,2023-07-17 14:36:51,desktop,9150
